# bernoulli_fourier — triple-check of multi-base Bernoulli AC conjecture
# OpenMP enabled, 4 threads

== Cumulative L^2 integral I(T) = int_{-T}^{T} |hat mu_A|^2 dxi ==

case                      | T          | n_pts        | I(T)           | time(s)    | I/I_prev  
-----------------------------------------------------------------------------------------------
{3}                       | 1e+02      | 10000        | 7.241142       | 0.051      | 0.0000    
{3}                       | 1e+03      | 10000        | 16.380308      | 0.015      | 2.2621    
{3}                       | 1e+04      | 80000        | 36.857876      | 0.116      | 2.2501    
{3}                       | 1e+05      | 800000       | 83.136486      | 0.999      | 2.2556    
{3}                       | 1e+06      | 8000000      | 188.245764     | 9.934      | 2.2643    

{4}                       | 1e+02      | 10000        | 15.535434      | 0.013      | 0.0000    
{4}                       | 1e+03      | 10000        | 46.420160      | 0.027      | 2.9880    
{4}                       | 1e+04      | 80000        | 126.335391     | 0.092      | 2.7216    
{4}                       | 1e+05      | 800000       | 497.019177     | 0.731      | 3.9341    
{4}                       | 1e+06      | 8000000      | 1470.681501    | 7.995      | 2.9590    

{5}                       | 1e+02      | 10000        | 19.274975      | 0.019      | 0.0000    
{5}                       | 1e+03      | 10000        | 88.791988      | 0.025      | 4.6066    
{5}                       | 1e+04      | 80000        | 252.959792     | 0.041      | 2.8489    
{5}                       | 1e+05      | 800000       | 1361.628240    | 0.635      | 5.3828    
{5}                       | 1e+06      | 8000000      | 3763.634698    | 6.764      | 2.7641    

{7}                       | 1e+02      | 10000        | 38.503963      | 0.031      | 0.0000    
{7}                       | 1e+03      | 10000        | 147.299029     | 0.034      | 3.8256    
{7}                       | 1e+04      | 80000        | 531.802413     | 0.084      | 3.6104    
{7}                       | 1e+05      | 800000       | 2491.098701    | 0.693      | 4.6843    
{7}                       | 1e+06      | 8000000      | 15605.061260   | 5.694      | 6.2643    

{3,4}                     | 1e+02      | 10000        | 1.567164       | 0.041      | 0.0000    
{3,4}                     | 1e+03      | 10000        | 1.808310       | 0.014      | 1.1539    
{3,4}                     | 1e+04      | 80000        | 1.874524       | 0.181      | 1.0366    
{3,4}                     | 1e+05      | 800000       | 2.037235       | 1.714      | 1.0868    
{3,4}                     | 1e+06      | 8000000      | 2.069440       | 17.876     | 1.0158    

{3,5}                     | 1e+02      | 10000        | 1.914797       | 0.039      | 0.0000    
{3,5}                     | 1e+03      | 10000        | 2.319037       | 0.041      | 1.2111    
{3,5}                     | 1e+04      | 80000        | 2.414477       | 0.165      | 1.0412    
{3,5}                     | 1e+05      | 800000       | 2.783931       | 1.540      | 1.1530    
{3,5}                     | 1e+06      | 8000000      | 2.930803       | 16.773     | 1.0528    

{3,4,5}                   | 1e+02      | 10000        | 1.152490       | 0.040      | 0.0000    
{3,4,5}                   | 1e+03      | 10000        | 1.158094       | 0.062      | 1.0049    
{3,4,5}                   | 1e+04      | 80000        | 1.158464       | 0.226      | 1.0003    
{3,4,5}                   | 1e+05      | 800000       | 1.162759       | 2.554      | 1.0037    
{3,4,5}                   | 1e+06      | 8000000      | 1.162771       | 24.599     | 1.0000    

{3,4,7}                   | 1e+02      | 10000        | 1.202623       | 0.049      | 0.0000    
{3,4,7}                   | 1e+03      | 10000        | 1.229063       | 0.043      | 1.0220    
{3,4,7}                   | 1e+04      | 80000        | 1.232496       | 0.234      | 1.0028    
{3,4,7}                   | 1e+05      | 800000       | 1.234627       | 2.169      | 1.0017    
{3,4,7}                   | 1e+06      | 8000000      | 1.234790       | 24.605     | 1.0001    

{3,4,9,25}                | 1e+02      | 10000        | 1.243101       | 0.026      | 0.0000    
{3,4,9,25}                | 1e+03      | 10000        | 1.252083       | 0.049      | 1.0072    
{3,4,9,25}                | 1e+04      | 80000        | 1.253770       | 0.230      | 1.0013    
{3,4,9,25}                | 1e+05      | 800000       | 1.259933       | 2.608      | 1.0049    
{3,4,9,25}                | 1e+06      | 8000000      | 1.259951       | 26.530     | 1.0000    

{3,5,7,13}                | 1e+02      | 10000        | 1.229844       | 0.025      | 0.0000    
{3,5,7,13}                | 1e+03      | 10000        | 1.232617       | 0.045      | 1.0023    
{3,5,7,13}                | 1e+04      | 80000        | 1.234094       | 0.249      | 1.0012    
{3,5,7,13}                | 1e+05      | 800000       | 1.234183       | 2.409      | 1.0001    
{3,5,7,13}                | 1e+06      | 8000000      | 1.234188       | 26.494     | 1.0000    

{3,6,9,12,21,45,89}       | 1e+02      | 10000        | 1.285444       | 0.053      | 0.0000    
{3,6,9,12,21,45,89}       | 1e+03      | 10000        | 1.285590       | 0.051      | 1.0001    
{3,6,9,12,21,45,89}       | 1e+04      | 80000        | 1.285688       | 0.347      | 1.0001    
{3,6,9,12,21,45,89}       | 1e+05      | 800000       | 1.285689       | 3.080      | 1.0000    
{3,6,9,12,21,45,89}       | 1e+06      | 8000000      | 1.285689       | 32.896     | 1.0000    

