# bernoulli_fourier — triple-check of multi-base Bernoulli AC conjecture
# OpenMP enabled, 4 threads

== Per-scale I_k = 2 * int_{2^k}^{2^{k+1}} |hat mu_A|^2 dxi ==

case                      | k=0         k=1         k=2         k=3         k=4         k=5         k=6         k=7         k=8         k=9         k=10        k=11        k=12        k=13        k=14        k=15        k=16        k=17        k=18        k=19        k=20        k=21        | sum I_k
{3}                       | 1.2394e-01  6.6264e-01  4.3847e-01  6.6258e-01  1.5510e+00  9.6174e-01  1.5109e+00  3.3060e+00  1.6210e+00  4.1731e+00  4.2615e+00  4.1269e+00  1.1907e+01  7.2368e+00  1.1414e+01  2.6205e+01  1.2537e+01  3.0326e+01  3.7129e+01  3.0586e+01  8.7106e+01  5.6435e+01  | 334.282028
{4}                       | 3.3968e-01  1.1923e+00  7.6701e-01  2.3608e+00  1.5564e+00  4.7160e+00  3.1183e+00  9.4306e+00  6.2380e+00  1.8861e+01  1.2476e+01  3.7722e+01  2.4953e+01  7.5443e+01  4.9906e+01  1.5089e+02  9.9811e+01  3.0177e+02  1.9962e+02  6.0354e+02  4.1173e+02  1.2448e+03  | 3261.252582
{5}                       | 6.8862e-01  6.2520e-01  2.6151e+00  8.0089e-01  7.4692e+00  1.4686e+00  1.2950e+01  9.8313e+00  1.3127e+01  3.7790e+01  1.3465e+01  1.1544e+02  2.2862e+01  2.3071e+02  1.2613e+02  2.3803e+02  5.6089e+02  2.0933e+02  1.8068e+03  3.5159e+02  3.7486e+03  1.9142e+03  | 9425.402339
{7}                       | 1.2042e+00  4.1949e-01  4.4482e+00  3.7531e+00  8.3857e-01  1.8770e+01  1.0026e+01  9.6635e+00  6.0561e+01  3.6202e+01  5.7447e+01  1.9286e+02  1.2364e+02  3.6494e+02  6.5837e+02  2.8755e+02  2.0791e+03  2.1633e+03  5.0536e+02  9.4656e+03  5.6347e+03  3.9237e+03  | 25602.401201
{3,4}                     | 2.8547e-02  1.4278e-01  5.6437e-03  2.0498e-02  3.9112e-02  8.5009e-02  5.7527e-02  1.7340e-01  1.5059e-02  5.2581e-02  3.8470e-03  5.0916e-03  5.7242e-02  6.4010e-02  4.6306e-02  4.0341e-02  1.3322e-02  2.7753e-02  1.8227e-03  1.0533e-02  2.5383e-02  2.0697e-02  | 0.936507
{3,5}                     | 4.8407e-02  4.5987e-02  1.0576e-01  6.0114e-02  3.2570e-01  1.2880e-02  7.0002e-02  6.3367e-02  7.5761e-02  2.5998e-01  1.7604e-02  3.8039e-02  3.9435e-02  2.0398e-01  7.3593e-02  6.5316e-02  2.9005e-02  1.5144e-02  1.0954e-01  1.8280e-02  1.0814e-01  1.2593e-02  | 1.798619
{3,4,5}                   | 1.6205e-02  1.7206e-02  1.9091e-03  1.4683e-03  9.0417e-03  5.5317e-04  3.7552e-03  1.9420e-03  7.9343e-05  3.5776e-03  2.1076e-05  4.6442e-05  3.0221e-04  3.2890e-03  1.9072e-04  2.2510e-04  5.9063e-04  8.2529e-07  1.0674e-05  3.4366e-07  4.4042e-06  3.2624e-06  | 0.060423
{3,4,7}                   | 2.1727e-02  9.3220e-03  3.3559e-03  3.8853e-03  1.4736e-03  1.7451e-02  1.5285e-03  2.3538e-02  7.0378e-04  2.1952e-03  4.1634e-05  1.7186e-04  3.2193e-03  4.0874e-04  1.6069e-03  9.8714e-05  5.5503e-05  7.7460e-05  3.1333e-06  1.4710e-04  8.0251e-05  8.5819e-06  | 0.091099
{3,4,9,25}                | 2.3809e-02  3.0633e-02  6.7238e-04  1.3046e-03  7.2326e-03  1.9943e-03  1.9512e-02  1.9666e-03  1.3886e-05  6.9960e-03  3.5768e-04  8.7170e-06  1.3210e-03  4.0825e-03  2.7200e-04  8.6984e-04  9.4316e-04  6.0746e-07  1.0972e-05  3.9085e-05  8.9799e-05  1.1499e-05  | 0.102141
{3,5,7,13}                | 3.1889e-02  1.8924e-03  1.5351e-03  4.6485e-03  1.3464e-03  7.5310e-04  1.1975e-04  1.8741e-04  1.6765e-04  2.3324e-03  5.4804e-04  8.3256e-04  9.6403e-05  2.3245e-06  8.3456e-05  1.5887e-06  3.2745e-06  4.5716e-07  3.3752e-06  2.7247e-07  2.2824e-06  1.0194e-08  | 0.046446
{3,6,9,12,21,45,89}       | 4.4375e-02  1.0464e-02  4.6745e-04  2.6446e-04  4.3699e-05  8.9377e-06  5.6379e-05  1.4365e-04  2.2125e-06  5.1925e-07  3.3763e-05  3.4796e-05  2.8918e-05  1.6510e-07  2.0219e-08  5.7700e-07  3.6425e-10  1.9344e-08  1.8818e-08  2.1527e-07  4.6429e-10  1.1014e-06  | 0.055926
