# bernoulli_fourier — triple-check of multi-base Bernoulli AC conjecture
# OpenMP enabled, 4 threads

== Cumulative L^2 integral I(T) = int_{-T}^{T} |hat mu_A|^2 dxi ==

case                      | T          | n_pts        | I(T)           | time(s)    | I/I_prev  
-----------------------------------------------------------------------------------------------
{3,4,5}                   | 1e+04      | 80000        | 1.158464       | 0.122      | 0.0000    
{3,4,5}                   | 1e+05      | 800000       | 1.162759       | 1.436      | 1.0037    
{3,4,5}                   | 1e+06      | 8000000      | 1.162771       | 14.986     | 1.0000    
{3,4,5}                   | 1e+07      | 80000000     | 1.162785       | 138.028    | 1.0000    

{3,4,7}                   | 1e+04      | 80000        | 1.232496       | 0.127      | 0.0000    
{3,4,7}                   | 1e+05      | 800000       | 1.234627       | 1.349      | 1.0017    
{3,4,7}                   | 1e+06      | 8000000      | 1.234790       | 12.508     | 1.0001    
{3,4,7}                   | 1e+07      | 80000000     | 1.235070       | 142.211    | 1.0002    

{3,4,9,25}                | 1e+04      | 80000        | 1.253770       | 0.130      | 0.0000    
{3,4,9,25}                | 1e+05      | 800000       | 1.259933       | 1.325      | 1.0049    
{3,4,9,25}                | 1e+06      | 8000000      | 1.259951       | 14.313     | 1.0000    
{3,4,9,25}                | 1e+07      | 80000000     | 1.260106       | 163.631    | 1.0001    

{3,5,7,13}                | 1e+04      | 80000        | 1.234094       | 0.268      | 0.0000    
{3,5,7,13}                | 1e+05      | 800000       | 1.234183       | 1.469      | 1.0001    
{3,5,7,13}                | 1e+06      | 8000000      | 1.234188       | 15.260     | 1.0000    
{3,5,7,13}                | 1e+07      | 80000000     | 1.234192       | 176.368    | 1.0000    

{3,6,9,12,21,45,89}       | 1e+04      | 80000        | 1.285688       | 0.162      | 0.0000    
{3,6,9,12,21,45,89}       | 1e+05      | 800000       | 1.285689       | 1.567      | 1.0000    
{3,6,9,12,21,45,89}       | 1e+06      | 8000000      | 1.285689       | 18.681     | 1.0000    
{3,6,9,12,21,45,89}       | 1e+07      | 80000000     | 1.285689       | 183.704    | 1.0000    


