# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=12, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,4,5}                        1   1.083    79           625          4       
  {3,4,5}                        2   1.083    77613        390625       5       
  {3,4,6}                        1   1.033    986          4096         7       
  {3,4,6}                        2   1.033    242113       1594323      7       
  {3,4,5,6}                      1   1.283    2            16           4       
  {3,4,5,6}                      2   1.283    1068         1296         6       
  {3,4,5,7}                      1   1.25     22           49           4       
  {3,4,5,7}                      2   1.25     695          2187         4       
  {3,4,5,8}                      1   1.226    10           64           4       
  {3,4,5,8}                      2   1.226    1223         3125         4       
  {3,4,5,9}                      1   1.208    15           64           4       
  {3,4,5,9}                      2   1.208    3235         6561         5       
  {3,4,5,10}                     1   1.194    11           64           4       
  {3,4,5,10}                     2   1.194    1236         3125         6       
  {3,4,5,11}                     1   1.183    74           243          6       
  {3,4,5,11}                     2   1.183    2338         14641        4       
  {3,4,5,12}                     1   1.174    22           81           5       
  {3,4,5,12}                     2   1.174    2633         15625        4       
  {3,4,6,7}                      1   1.2      24           49           6       
  {3,4,6,7}                      2   1.2      2062         4096         6       
  {3,4,6,8}                      1   1.176    5            16           6       
  {3,4,6,8}                      2   1.176    6342         16384        6       
  {3,4,6,9}                      1   1.158    17           64           6       
  {3,4,6,9}                      2   1.158    7405         16384        6       
  {3,4,6,10}                     1   1.144    24           81           5       
  {3,4,6,10}                     2   1.144    5690         16384        6       
  {3,4,6,11}                     1   1.133    8            16           6       
  {3,4,6,11}                     2   1.133    2174         6561         5       
  {3,4,6,12}                     1   1.124    17           64           6       
  {3,4,6,12}                     2   1.124    4182         16384        6       
  {3,4,7,8}                      1   1.143    6            16           6       
  {3,4,7,8}                      2   1.143    2642         16384        4       
  {3,4,7,9}                      1   1.125    51           81           7       
  {3,4,7,9}                      2   1.125    16567        117649       7       
  {3,4,7,10}                     1   1.111    18           81           7       
  {3,4,7,10}                     2   1.111    4044         16384        6       
  {3,4,7,11}                     1   1.1      44           81           7       
  {3,4,7,11}                     2   1.1      3355         59049        6       
  {3,4,7,12}                     1   1.091    82           243          6       
  {3,4,7,12}                     2   1.091    17261        117649       7       
  {3,4,8,9}                      1   1.101    78           512          5       
  {3,4,8,9}                      2   1.101    21349        177147       5       
  {3,4,8,10}                     1   1.087    6            64           4       
  {3,4,8,10}                     2   1.087    7351         32768        7       
  {3,4,8,11}                     1   1.076    10           81           8       
  {3,4,8,11}                     2   1.076    15984        32768        7       
  {3,4,8,12}                     1   1.067    150          512          7       
  {3,4,8,12}                     2   1.067    22662        59049        7       
  {3,4,9,10}                     1   1.069    79           243          7       
  {3,4,9,10}                     2   1.069    65009        100000       8       
  {3,4,9,11}                     1   1.058    74           243          7       
  {3,4,9,11}                     2   1.058    70465        177147       7       
  {3,4,9,12}                     1   1.049    879          4096         9       
  {3,4,9,12}                     2   1.049    63989        531441       8       
  {3,4,10,11}                    1   1.044    72           243          8       
  {3,4,10,11}                    2   1.044    15602        100000       9       
  {3,4,10,12}                    1   1.035    82           243          9       
  {3,4,10,12}                    2   1.035    6766         59049        7       
  {3,4,11,12}                    1   1.024    86           243          9       
  {3,4,11,12}                    2   1.024    16896        161051       8       
  {3,5,6,7}                      1   1.117    29           49           7       
  {3,5,6,7}                      2   1.117    2318         6561         5       
  {3,5,6,8}                      1   1.093    29           81           7       
  {3,5,6,8}                      2   1.093    5740         15625        6       
  {3,5,6,9}                      1   1.075    22           216          7       
  {3,5,6,9}                      2   1.075    51882        177147       7       
  {3,5,6,10}                     1   1.061    29           216          8       
  {3,5,6,10}                     2   1.061    9354         46656        6       
  {3,5,6,11}                     1   1.05     24           216          8       
  {3,5,6,11}                     2   1.05     15207        161051       8       
  {3,5,6,12}                     1   1.041    22           216          8       
  {3,5,6,12}                     2   1.041    17565        177147       8       
  {3,5,7,8}                      1   1.06     53           81           7       
  {3,5,7,8}                      2   1.06     3044         32768        8       
  {3,5,7,9}                      1   1.042    112          343          9       
  {3,5,7,9}                      2   1.042    77373        390625       6       
  {3,5,7,10}                     1   1.028    23           81           8       
  {3,5,7,10}                     2   1.028    15411        100000       9       
  {3,5,7,11}                     1   1.017    31           243          9       
  {3,5,7,11}                     2   1.017    17012        117649       11      
  {3,5,7,12}                     1   1.008    131          343          12      
  {3,5,7,12}                     2   1.008    75679        177147       12      
  {3,5,8,9}                      1   1.018    88           729          12      
  {3,5,8,9}                      2   1.018    61691        390625       11      
  {3,5,8,10}                     1   1.004    58           512          12      
  {3,5,8,10}                     2   1.004    16215        59049        12      
  {3,6,7,8}                      1   1.01     32           216          11      
  {3,6,7,8}                      2   1.01     20544        46656        12      
  {3,4,5,6,7}                    1   1.45     2            16           5       
  {3,4,5,6,7}                    2   1.45     312          343          5       
  {3,4,5,6,8}                    1   1.426    2            16           4       
  {3,4,5,6,8}                    2   1.426    516          729          5       
  {3,4,5,6,9}                    1   1.408    2            16           5       
  {3,4,5,6,9}                    2   1.408    852          1296         6       
  {3,4,5,6,10}                   1   1.394    2            16           5       
  {3,4,5,6,10}                   2   1.394    925          1296         6       
  {3,4,5,6,11}                   1   1.383    2            16           5       
  {3,4,5,6,11}                   2   1.383    419          729          5       
  {3,4,5,6,12}                   1   1.374    2            16           5       
  {3,4,5,6,12}                   2   1.374    327          729          6       
  {3,4,5,7,8}                    1   1.393    6            16           6       
  {3,4,5,7,8}                    2   1.393    391          729          7       
  {3,4,5,7,9}                    1   1.375    6            16           5       
  {3,4,5,7,9}                    2   1.375    391          729          6       
  {3,4,5,7,10}                   1   1.361    6            16           5       
  {3,4,5,7,10}                   2   1.361    327          729          6       
  {3,4,5,7,11}                   1   1.35     6            16           6       
  {3,4,5,7,11}                   2   1.35     325          343          5       
  {3,4,5,7,12}                   1   1.341    6            16           6       
  {3,4,5,7,12}                   2   1.341    287          343          5       
  {3,4,5,8,9}                    1   1.351    10           25           6       
  {3,4,5,8,9}                    2   1.351    736          2187         6       
  {3,4,5,8,10}                   1   1.337    6            16           6       
  {3,4,5,8,10}                   2   1.337    591          2187         5       
  {3,4,5,8,11}                   1   1.326    10           16           6       
  {3,4,5,8,11}                   2   1.326    824          1331         6       
  {3,4,5,8,12}                   1   1.317    10           16           6       
  {3,4,5,8,12}                   2   1.317    719          729          7       
