# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=20, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,4,5}                        1   1.083    79           625          4       
  {3,4,5}                        2   1.083    77613        390625       5       
  {3,4,6}                        1   1.033    986          4096         7       
  {3,4,6}                        2   1.033    242113       1594323      7       
  {3,4,5,6}                      1   1.283    2            16           4       
  {3,4,5,6}                      2   1.283    1068         1296         6       
  {3,4,5,7}                      1   1.25     22           49           4       
  {3,4,5,7}                      2   1.25     695          2187         4       
  {3,4,5,8}                      1   1.226    10           64           4       
  {3,4,5,8}                      2   1.226    1223         3125         4       
  {3,4,5,9}                      1   1.208    15           64           4       
  {3,4,5,9}                      2   1.208    3235         6561         5       
  {3,4,5,10}                     1   1.194    11           64           4       
  {3,4,5,10}                     2   1.194    1236         3125         6       
  {3,4,5,11}                     1   1.183    74           243          6       
  {3,4,5,11}                     2   1.183    2338         14641        4       
  {3,4,5,12}                     1   1.174    22           81           5       
  {3,4,5,12}                     2   1.174    2633         15625        4       
  {3,4,5,13}                     1   1.167    15           64           6       
  {3,4,5,13}                     2   1.167    3164         59049        4       
  {3,4,5,14}                     1   1.16     15           64           6       
  {3,4,5,14}                     2   1.16     3191         15625        4       
  {3,4,5,15}                     1   1.155    26           81           5       
  {3,4,5,15}                     2   1.155    3437         15625        3       
  {3,4,5,16}                     1   1.15     79           625          5       
  {3,4,5,16}                     2   1.15     58301        177147       6       
  {3,4,5,17}                     1   1.146    15           64           6       
  {3,4,5,17}                     2   1.146    3480         15625        4       
  {3,4,5,18}                     1   1.142    15           64           6       
  {3,4,5,18}                     2   1.142    3804         15625        5       
  {3,4,5,19}                     1   1.139    15           25           7       
  {3,4,5,19}                     2   1.139    3768         15625        5       
  {3,4,5,20}                     1   1.136    26           81           6       
  {3,4,5,20}                     2   1.136    6111         59049        3       
  {3,4,6,7}                      1   1.2      24           49           6       
  {3,4,6,7}                      2   1.2      2062         4096         6       
  {3,4,6,8}                      1   1.176    5            16           6       
  {3,4,6,8}                      2   1.176    6342         16384        6       
  {3,4,6,9}                      1   1.158    17           64           6       
  {3,4,6,9}                      2   1.158    7405         16384        6       
  {3,4,6,10}                     1   1.144    24           81           5       
  {3,4,6,10}                     2   1.144    5690         16384        6       
  {3,4,6,11}                     1   1.133    8            16           6       
  {3,4,6,11}                     2   1.133    2174         6561         5       
  {3,4,6,12}                     1   1.124    17           64           6       
  {3,4,6,12}                     2   1.124    4182         16384        6       
  {3,4,6,13}                     1   1.117    57           729          5       
  {3,4,6,13}                     2   1.117    3200         16384        6       
  {3,4,6,14}                     1   1.11     11           27           8       
  {3,4,6,14}                     2   1.11     4670         16384        6       
  {3,4,6,15}                     1   1.105    17           216          4       
  {3,4,6,15}                     2   1.105    7519         46656        4       
  {3,4,6,16}                     1   1.1      205          729          6       
  {3,4,6,16}                     2   1.1      8750         46656        5       
  {3,4,6,17}                     1   1.096    41           729          6       
  {3,4,6,17}                     2   1.096    6431         16384        6       
  {3,4,6,18}                     1   1.092    17           216          4       
  {3,4,6,18}                     2   1.092    6350         16384        6       
  {3,4,6,19}                     1   1.089    205          729          7       
  {3,4,6,19}                     2   1.089    6631         16384        6       
  {3,4,6,20}                     1   1.086    44           400          7       
  {3,4,6,20}                     2   1.086    7454         16384        7       
  {3,4,7,8}                      1   1.143    6            16           6       
  {3,4,7,8}                      2   1.143    2642         16384        4       
  {3,4,7,9}                      1   1.125    51           81           7       
  {3,4,7,9}                      2   1.125    16567        117649       7       
  {3,4,7,10}                     1   1.111    18           81           7       
  {3,4,7,10}                     2   1.111    4044         16384        6       
  {3,4,7,11}                     1   1.1      44           81           7       
  {3,4,7,11}                     2   1.1      3355         59049        6       
  {3,4,7,12}                     1   1.091    82           243          6       
  {3,4,7,12}                     2   1.091    17261        117649       7       
  {3,4,7,13}                     1   1.083    21           169          6       
  {3,4,7,13}                     2   1.083    16468        59049        6       
  {3,4,7,14}                     1   1.077    22           196          6       
  {3,4,7,14}                     2   1.077    16445        38416        6       
  {3,4,7,15}                     1   1.071    242          729          7       
  {3,4,7,15}                     2   1.071    4231         50625        6       
  {3,4,7,16}                     1   1.067    261          729          7       
  {3,4,7,16}                     2   1.067    61683        117649       8       
  {3,4,7,17}                     1   1.062    22           729          7       
  {3,4,7,17}                     2   1.062    13445        83521        9       
  {3,4,7,18}                     1   1.059    245          729          7       
  {3,4,7,18}                     2   1.059    62145        177147       8       
  {3,4,7,19}                     1   1.056    264          729          7       
  {3,4,7,19}                     2   1.056    16431        117649       7       
  {3,4,7,20}                     1   1.053    258          729          7       
  {3,4,7,20}                     2   1.053    8947         59049        6       
  {3,4,8,9}                      1   1.101    78           512          5       
  {3,4,8,9}                      2   1.101    21349        177147       5       
  {3,4,8,10}                     1   1.087    6            64           4       
  {3,4,8,10}                     2   1.087    7351         32768        7       
  {3,4,8,11}                     1   1.076    10           81           8       
  {3,4,8,11}                     2   1.076    15984        32768        7       
  {3,4,8,12}                     1   1.067    150          512          7       
  {3,4,8,12}                     2   1.067    22662        59049        7       
  {3,4,8,13}                     1   1.06     82           512          8       
  {3,4,8,13}                     2   1.06     19431        59049        7       
  {3,4,8,14}                     1   1.053    10           196          6       
  {3,4,8,14}                     2   1.053    22018        59049        8       
  {3,4,8,15}                     1   1.048    41           512          8       
  {3,4,8,15}                     2   1.048    23450        177147       7       
  {3,4,8,16}                     1   1.043    726          16384        7       
  {3,4,8,16}                     2   1.043    183387       531441       7       
  {3,4,8,17}                     1   1.039    231          512          8       
  {3,4,8,17}                     2   1.039    24000        177147       8       
  {3,4,8,18}                     1   1.035    14           243          6       
  {3,4,8,18}                     2   1.035    49443        104976       9       
  {3,4,8,19}                     1   1.032    45           361          9       
  {3,4,8,19}                     2   1.032    23463        130321       9       
  {3,4,8,20}                     1   1.029    325          729          10      
  {3,4,8,20}                     2   1.029    26174        160000       8       
  {3,4,9,10}                     1   1.069    79           243          7       
  {3,4,9,10}                     2   1.069    65009        100000       8       
  {3,4,9,11}                     1   1.058    74           243          7       
  {3,4,9,11}                     2   1.058    70465        177147       7       
  {3,4,9,12}                     1   1.049    879          4096         9       
  {3,4,9,12}                     2   1.049    63989        531441       8       
  {3,4,9,13}                     1   1.042    160          2187         8       
