# sunit_general (batch): exact-critical hypothesis-meeting (A,k)
# max_base=30, sizes [2, 6], k in [1, 3]
# A                              k   R        c*           T*           mult-pair   
  {3,4,7}                        1   1        8            16           (3,4)       
  {3,4,7}                        2   1        371          343          (3,4)       
  {3,4,7}                        3   1        35441        59049        (3,4)       
  {3,4,9,25}                     1   1        24           16           (3,4)       
  {3,4,9,25}                     2   1        1939         2187         (3,4)       
  {3,4,9,25}                     3   1        19090        16384        (3,4)       
  {3,4,10,19}                    1   1        21           16           (3,4)       
  {3,4,10,19}                    2   1        576          729          (3,4)       
  {3,4,10,19}                    3   1        96886        100000       (3,4)       
  {3,4,11,16}                    1   1        26           27           (3,4)       
  {3,4,11,16}                    2   1        533          729          (3,4)       
  {3,4,11,16}                    3   1        35698        59049        (3,4)       
  {3,5,6,21}                     1   1        22           81           (3,5)       
  {3,5,6,21}                     2   1        599          625          (3,5)       
  {3,5,6,21}                     3   1        125693       177147       (3,5)       
  {3,5,7,13}                     1   1        11           25           (3,5)       
  {3,5,7,13}                     2   1        241          243          (3,5)       
  {3,5,7,13}                     3   1        6040         6561         (3,5)       
  {3,4,13,22,29}                 1   1        43           27           (3,4)       
  {3,4,13,22,29}                 2   1        1968         2187         (3,4)       
  {3,4,13,22,29}                 3   1        44283        28561        (3,4)       
  {3,5,7,22,29}                  1   1        35           25           (3,5)       
  {3,5,7,22,29}                  2   1        941          343          (3,5)       
  {3,5,7,22,29}                  3   1        120360       117649       (3,5)       
  {3,5,8,15,29}                  1   1        33           25           (3,5)       
  {3,5,8,15,29}                  2   1        1386         729          (3,5)       
  {3,5,8,15,29}                  3   1        57074        50625        (3,5)       
  {3,5,9,13,25}                  1   1        29           81           (3,5)       
  {3,5,9,13,25}                  2   1        3790         3125         (3,5)       
  {3,5,9,13,25}                  3   1        238019       371293       (3,5)       
  {3,5,10,13,19}                 1   1        20           25           (3,5)       
  {3,5,10,13,19}                 2   1        880          729          (3,5)       
  {3,5,10,13,19}                 3   1        117346       100000       (3,5)       
  {3,5,11,13,16}                 1   1        26           25           (3,5)       
  {3,5,11,13,16}                 2   1        289          27           (3,5)       
