# unified_batch: max_base=20, sizes [3, 6], k in [1, 2]
# 30542 coprime BaseSets enumerated
# A                              k   R        route   c*           T*           extra       
  {3,4,5}                        1   1.083    CFH     79           625          step=4 
  {3,4,5}                        2   1.083    CFH     77613        262144       step=6 
  {3,4,6}                        1   1.033    CFH     986          4096         step=7 
  {3,4,6}                        2   1.033    CFH     242113       4194304      step=6 
  {3,4,7}                        1   1        S-unit  8            16           (3,4) 
  {3,4,7}                        2   1        S-unit  371          343          (3,4) 
  {3,4,5,6}                      1   1.283    CFH     2            16           step=4 
  {3,4,5,6}                      2   1.283    CFH     1068         3125         step=4 
  {3,4,5,7}                      1   1.25     CFH     22           49           step=4 
  {3,4,5,7}                      2   1.25     CFH     695          3125         step=7 
  {3,4,5,8}                      1   1.226    CFH     10           64           step=4 
  {3,4,5,8}                      2   1.226    CFH     1223         3125         step=4 
  {3,4,5,9}                      1   1.208    CFH     15           64           step=4 
  {3,4,5,9}                      2   1.208    CFH     3235         15625        step=3 
  {3,4,5,10}                     1   1.194    CFH     11           64           step=4 
  {3,4,5,10}                     2   1.194    CFH     1236         3125         step=6 
  {3,4,5,11}                     1   1.183    CFH     74           625          step=4 
  {3,4,5,11}                     2   1.183    CFH     2338         14641        step=4 
  {3,4,5,12}                     1   1.174    CFH     22           125          step=5 
  {3,4,5,12}                     2   1.174    CFH     2633         15625        step=4 
  {3,4,5,13}                     1   1.167    CFH     15           64           step=6 
  {3,4,5,13}                     2   1.167    CFH     3164         262144       step=5 
  {3,4,5,14}                     1   1.16     CFH     15           64           step=6 
  {3,4,5,14}                     2   1.16     CFH     3191         15625        step=4 
  {3,4,5,15}                     1   1.155    CFH     26           125          step=6 
  {3,4,5,15}                     2   1.155    CFH     3437         15625        step=3 
  {3,4,5,16}                     1   1.15     CFH     79           625          step=5 
  {3,4,5,16}                     2   1.15     CFH     58301        262144       step=6 
  {3,4,5,17}                     1   1.146    CFH     15           64           step=6 
  {3,4,5,17}                     2   1.146    CFH     3480         15625        step=4 
  {3,4,5,18}                     1   1.142    CFH     15           64           step=6 
  {3,4,5,18}                     2   1.142    CFH     3804         15625        step=5 
  {3,4,5,19}                     1   1.139    CFH     15           64           step=5 
  {3,4,5,19}                     2   1.139    CFH     3768         15625        step=5 
  {3,4,5,20}                     1   1.136    CFH     26           125          step=6 
  {3,4,5,20}                     2   1.136    CFH     6111         59049        step=3 
  {3,4,6,7}                      1   1.2      CFH     24           216          step=4 
  {3,4,6,7}                      2   1.2      CFH     2062         4096         step=6 
  {3,4,6,8}                      1   1.176    CFH     5            16           step=6 
  {3,4,6,8}                      2   1.176    CFH     6342         32768        step=5 
  {3,4,6,9}                      1   1.158    CFH     17           36           step=7 
  {3,4,6,9}                      2   1.158    CFH     7405         46656        step=4 
  {3,4,6,10}                     1   1.144    CFH     24           729          step=5 
  {3,4,6,10}                     2   1.144    CFH     5690         46656        step=4 
  {3,4,6,11}                     1   1.133    CFH     8            36           step=7 
  {3,4,6,11}                     2   1.133    CFH     2174         7776         step=7 
  {3,4,6,12}                     1   1.124    CFH     17           36           step=7 
  {3,4,6,12}                     2   1.124    CFH     4182         46656        step=7 
  {3,4,6,13}                     1   1.117    CFH     57           729          step=5 
  {3,4,6,13}                     2   1.117    CFH     3200         28561        step=7 
  {3,4,6,14}                     1   1.11     CFH     11           36           step=7 
  {3,4,6,14}                     2   1.11     CFH     4670         38416        step=5 
  {3,4,6,15}                     1   1.105    CFH     17           36           step=7 
  {3,4,6,15}                     2   1.105    CFH     7519         46656        step=4 
  {3,4,6,16}                     1   1.1      CFH     205          729          step=6 
  {3,4,6,16}                     2   1.1      CFH     8750         46656        step=5 
  {3,4,6,17}                     1   1.096    CFH     41           1024         step=7 
  {3,4,6,17}                     2   1.096    CFH     6431         46656        step=5 
  {3,4,6,18}                     1   1.092    CFH     17           36           step=7 
  {3,4,6,18}                     2   1.092    CFH     6350         46656        step=5 
  {3,4,6,19}                     1   1.089    CFH     205          1024         step=7 
  {3,4,6,19}                     2   1.089    CFH     6631         46656        step=5 
  {3,4,6,20}                     1   1.086    CFH     44           400          step=7 
  {3,4,6,20}                     2   1.086    CFH     7454         46656        step=5 
  {3,4,7,8}                      1   1.143    CFH     6            16           step=6 
  {3,4,7,8}                      2   1.143    CFH     2642         16384        step=4 
  {3,4,7,9}                      1   1.125    CFH     51           243          step=5 
  {3,4,7,9}                      2   1.125    CFH     16567        117649       step=7 
  {3,4,7,10}                     1   1.111    CFH     18           1000         step=6 
  {3,4,7,10}                     2   1.111    CFH     4044         10000        step=6 
  {3,4,7,11}                     1   1.1      CFH     44           1024         step=6 
  {3,4,7,11}                     2   1.1      CFH     3355         59049        step=6 
  {3,4,7,12}                     1   1.091    CFH     82           1024         step=6 
  {3,4,7,12}                     2   1.091    CFH     17261        117649       step=7 
  {3,4,7,13}                     1   1.083    CFH     21           169          step=6 
  {3,4,7,13}                     2   1.083    CFH     16468        117649       step=7 
  {3,4,7,14}                     1   1.077    CFH     22           196          step=6 
  {3,4,7,14}                     2   1.077    CFH     16445        38416        step=6 
  {3,4,7,15}                     1   1.071    CFH     242          3375         step=8 
  {3,4,7,15}                     2   1.071    CFH     4231         50625        step=6 
  {3,4,7,16}                     1   1.067    CFH     261          4096         step=6 
  {3,4,7,16}                     2   1.067    CFH     61683        117649       step=8 
  {3,4,7,17}                     1   1.062    CFH     22           289          step=9 
  {3,4,7,17}                     2   1.062    CFH     13445        83521        step=9 
  {3,4,7,18}                     1   1.059    CFH     245          4096         step=7 
  {3,4,7,18}                     2   1.059    CFH     62145        823543       step=7 
  {3,4,7,19}                     1   1.056    CFH     264          4096         step=8 
  {3,4,7,19}                     2   1.056    CFH     16431        117649       step=7 
  {3,4,7,20}                     1   1.053    CFH     258          4096         step=8 
  {3,4,7,20}                     2   1.053    CFH     8947         59049        step=6 
  {3,4,8,9}                      1   1.101    CFH     78           512          step=5 
  {3,4,8,9}                      2   1.101    CFH     21349        177147       step=5 
  {3,4,8,10}                     1   1.087    CFH     6            64           step=4 
  {3,4,8,10}                     2   1.087    CFH     7351         32768        step=7 
  {3,4,8,11}                     1   1.076    CFH     10           512          step=7 
  {3,4,8,11}                     2   1.076    CFH     15984        32768        step=7 
  {3,4,8,12}                     1   1.067    CFH     150          512          step=7 
  {3,4,8,12}                     2   1.067    CFH     22662        177147       step=5 
  {3,4,8,13}                     1   1.06     CFH     82           512          step=8 
  {3,4,8,13}                     2   1.06     CFH     19431        177147       step=6 
  {3,4,8,14}                     1   1.053    CFH     10           196          step=6 
  {3,4,8,14}                     2   1.053    CFH     22018        177147       step=6 
  {3,4,8,15}                     1   1.048    CFH     41           512          step=8 
  {3,4,8,15}                     2   1.048    CFH     23450        177147       step=7 
  {3,4,8,16}                     1   1.043    CFH     726          16384        step=7 
  {3,4,8,16}                     2   1.043    CFH     183387       1048576      step=6 
  {3,4,8,17}                     1   1.039    CFH     231          289          step=9 
  {3,4,8,17}                     2   1.039    CFH     24000        262144       step=9 
  {3,4,8,18}                     1   1.035    CFH     14           243          step=6 
  {3,4,8,18}                     2   1.035    CFH     49443        104976       step=9 
  {3,4,8,19}                     1   1.032    CFH     45           361          step=9 
  {3,4,8,19}                     2   1.032    CFH     23463        130321       step=9 
  {3,4,8,20}                     1   1.029    CFH     325          4096         step=7 
  {3,4,8,20}                     2   1.029    CFH     26174        160000       step=8 
  {3,4,9,10}                     1   1.069    CFH     79           729          step=5 
  {3,4,9,10}                     2   1.069    CFH     65009        100000       step=8 
  {3,4,9,11}                     1   1.058    CFH     74           729          step=5 
  {3,4,9,11}                     2   1.058    CFH     70465        1048576      step=7 
  {3,4,9,12}                     1   1.049    CFH     879          4096         step=9 
  {3,4,9,12}                     2   1.049    CFH     63989        248832       step=7 
  {3,4,9,13}                     1   1.042    CFH     160          4096         step=9 
  {3,4,9,13}                     2   1.042    CFH     61105        262144       step=7 
  {3,4,9,14}                     1   1.035    CFH     155          2744         step=10 
  {3,4,9,14}                     2   1.035    CFH     54188        4194304      step=6 
  {3,4,9,15}                     1   1.03     CFH     231          3375         step=10 
  {3,4,9,15}                     2   1.03     CFH     64183        4194304      step=6 
  {3,4,9,16}                     1   1.025    CFH     241          4096         step=10 
  {3,4,9,16}                     2   1.025    CFH     3948300      16777216     step=10 
  {3,4,9,17}                     1   1.021    CFH     241          4096         step=9 
  {3,4,9,17}                     2   1.021    CFH     73191        1048576      step=9 
  {3,4,9,18}                     1   1.017    CFH     318          4096         step=9 
  {3,4,9,18}                     2   1.017    CFH     1065329      14348907     step=8 
  {3,4,9,19}                     1   1.014    CFH     241          4096         step=9 
  {3,4,9,19}                     2   1.014    CFH     189870       1048576      step=11 
  {3,4,9,20}                     1   1.011    CFH     240          4096         step=10 
  {3,4,9,20}                     2   1.011    CFH     132566       1048576      step=12 
  {3,4,10,11}                    1   1.044    CFH     72           729          step=6 
  {3,4,10,11}                    2   1.044    CFH     15602        100000       step=9 
  {3,4,10,12}                    1   1.035    CFH     82           729          step=7 
  {3,4,10,12}                    2   1.035    CFH     6766         59049        step=7 
  {3,4,10,13}                    1   1.028    CFH     61           100          step=10 
  {3,4,10,13}                    2   1.028    CFH     19627        100000       step=9 
  {3,4,10,14}                    1   1.021    CFH     75           729          step=8 
  {3,4,10,14}                    2   1.021    CFH     9975         38416        step=10 
  {3,4,10,15}                    1   1.016    CFH     63           729          step=10 
  {3,4,10,15}                    2   1.016    CFH     50006        100000       step=10 
  {3,4,10,16}                    1   1.011    CFH     251          1000         step=12 
  {3,4,10,16}                    2   1.011    CFH     74767        1000000      step=10 
  {3,4,10,17}                    1   1.007    CFH     75           1000         step=13 
  {3,4,10,17}                    2   1.007    CFH     69861        1000000      step=11 
  {3,4,10,18}                    1   1.003    CFH     79           1000         step=15 
  {3,4,10,18}                    2   1.003    CFH     68666        1000000      step=13 
  {3,4,10,19}                    1   1        S-unit  24           64           (3,4) 
  {3,4,10,19}                    2   1        S-unit  3046         4096         (3,4) 
  {3,4,11,12}                    1   1.024    CFH     86           729          step=7 
  {3,4,11,12}                    2   1.024    CFH     16896        161051       step=8 
  {3,4,11,13}                    1   1.017    CFH     62           729          step=9 
  {3,4,11,13}                    2   1.017    CFH     18919        161051       step=8 
  {3,4,11,14}                    1   1.01     CFH     143          729          step=10 
  {3,4,11,14}                    2   1.01     CFH     17679        161051       step=10 
  {3,4,11,15}                    1   1.005    CFH     48           121          step=14 
  {3,4,11,15}                    2   1.005    CFH     17911        161051       step=13 
  {3,4,11,16}                    1   1        S-unit  37           64           (3,4) 
  {3,4,11,16}                    2   1        S-unit  533          729          (3,4) 
  {3,4,12,13}                    1   1.008    CFH     155          729          step=11 
  {3,4,12,13}                    2   1.008    CFH     21419        177147       step=11 
  {3,4,12,14}                    1   1.001    CFH     155          729          step=16 
  {3,4,12,14}                    2   1.001    CFH     57662        248832       step=17 
  {3,5,6,7}                      1   1.117    CFH     29           125          step=6 
  {3,5,6,7}                      2   1.117    CFH     2318         46656        step=5 
  {3,5,6,8}                      1   1.093    CFH     29           125          step=7 
  {3,5,6,8}                      2   1.093    CFH     5740         32768        step=7 
  {3,5,6,9}                      1   1.075    CFH     22           125          step=7 
  {3,5,6,9}                      2   1.075    CFH     51882        279936       step=7 
  {3,5,6,10}                     1   1.061    CFH     29           100          step=8 
  {3,5,6,10}                     2   1.061    CFH     9354         46656        step=6 
  {3,5,6,11}                     1   1.05     CFH     24           121          step=8 
  {3,5,6,11}                     2   1.05     CFH     15207        1594323      step=4 
  {3,5,6,12}                     1   1.041    CFH     22           125          step=8 
  {3,5,6,12}                     2   1.041    CFH     17565        248832       step=8 
  {3,5,6,13}                     1   1.033    CFH     62           625          step=8 
  {3,5,6,13}                     2   1.033    CFH     9246         28561        step=9 
  {3,5,6,14}                     1   1.027    CFH     24           125          step=10 
  {3,5,6,14}                     2   1.027    CFH     18049        279936       step=8 
  {3,5,6,15}                     1   1.021    CFH     22           125          step=10 
  {3,5,6,15}                     2   1.021    CFH     47742        279936       step=8 
  {3,5,6,16}                     1   1.017    CFH     65           625          step=10 
  {3,5,6,16}                     2   1.017    CFH     8334         279936       step=10 
  {3,5,6,17}                     1   1.013    CFH     207          1296         step=12 
  {3,5,6,17}                     2   1.013    CFH     45672        279936       step=11 
  {3,5,6,18}                     1   1.009    CFH     22           125          step=12 
  {3,5,6,18}                     2   1.009    CFH     62897        1594323      step=8 
  {3,5,6,19}                     1   1.006    CFH     190          361          step=14 
  {3,5,6,19}                     2   1.006    CFH     44772        78125        step=14 
  {3,5,6,20}                     1   1.003    CFH     210          1296         step=15 
  {3,5,6,20}                     2   1.003    CFH     61175        1594323      step=12 
  {3,5,7,8}                      1   1.06     CFH     53           125          step=8 
  {3,5,7,8}                      2   1.06     CFH     3044         32768        step=8 
  {3,5,7,9}                      1   1.042    CFH     112          343          step=9 
  {3,5,7,9}                      2   1.042    CFH     77373        390625       step=6 
  {3,5,7,10}                     1   1.028    CFH     23           100          step=10 
  {3,5,7,10}                     2   1.028    CFH     15411        78125        step=10 
  {3,5,7,11}                     1   1.017    CFH     31           121          step=10 
  {3,5,7,11}                     2   1.017    CFH     17012        78125        step=10 
  {3,5,7,12}                     1   1.008    CFH     131          343          step=12 
  {3,5,7,12}                     2   1.008    CFH     75679        248832       step=12 
  {3,5,7,13}                     1   1        S-unit  11           13           (3,5) 
  {3,5,7,13}                     2   1        S-unit  1209         2187         (3,5) 
  {3,5,8,9}                      1   1.018    CFH     88           2187         step=10 
  {3,5,8,9}                      2   1.018    CFH     61691        262144       step=10 
  {3,5,8,10}                     1   1.004    CFH     58           100          step=15 
  {3,5,8,10}                     2   1.004    CFH     16215        78125        step=15 
  {3,6,7,8}                      1   1.01     CFH     32           216          step=11 
  {3,6,7,8}                      2   1.01     CFH     20544        117649       step=11 
  {3,4,5,6,7}                    1   1.45     CFH     2            16           step=5 
  {3,4,5,6,7}                    2   1.45     CFH     312          343          step=5 
  {3,4,5,6,8}                    1   1.426    CFH     2            16           step=4 
  {3,4,5,6,8}                    2   1.426    CFH     516          1024         step=6 
  {3,4,5,6,9}                    1   1.408    CFH     2            16           step=5 
  {3,4,5,6,9}                    2   1.408    CFH     852          1024         step=5 
  {3,4,5,6,10}                   1   1.394    CFH     2            10           step=5 
  {3,4,5,6,10}                   2   1.394    CFH     925          3125         step=5 
  {3,4,5,6,11}                   1   1.383    CFH     2            11           step=5 
  {3,4,5,6,11}                   2   1.383    CFH     419          1024         step=6 
  {3,4,5,6,12}                   1   1.374    CFH     2            12           step=5 
  {3,4,5,6,12}                   2   1.374    CFH     327          1024         step=6 
  {3,4,5,6,13}                   1   1.367    CFH     2            13           step=5 
  {3,4,5,6,13}                   2   1.367    CFH     309          625          step=4 
  {3,4,5,6,14}                   1   1.36     CFH     2            14           step=5 
  {3,4,5,6,14}                   2   1.36     CFH     298          625          step=4 
  {3,4,5,6,15}                   1   1.355    CFH     2            15           step=5 
